Title,Rating,Votes,Duration,Genre
1. Kraven the Hunter,5.4, (47K),2h 7m,Action
2. Twisters,6.5, (162K),2h 2m,Action
3. Gladiator II,6.5, (219K),2h 28m,Action
4. Sonic the Hedgehog 3,6.9, (54K),1h 50m,Action
5. Pushpa: The Rule - Part 2,6.1, (54K),3h 21m,Action
6. Venom: The Last Dance,6.0, (110K),1h 50m,Action
7. Dune: Part Two,8.5, (615K),2h 46m,Action
8. The Ministry of Ungentlemanly Warfare,6.8, (132K),2h 2m,Action
9. Deadpool & Wolverine,7.6, (482K),2h 8m,Action
10. Furiosa: A Mad Max Saga,7.5, (281K),2h 28m,Action
11. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,Action
12. Borderlands,4.7, (46K),1h 41m,Action
13. Civil War,7.0, (233K),1h 49m,Action
14. Elevation,5.6, (20K),1h 31m,Action
15. The Beekeeper,6.3, (153K),1h 45m,Action
16. Solo Leveling: ReAwakening,8.8, (8.9K),2h 1m,Action
17. Carry-On,6.5, (161K),1h 59m,Action
18. The Count of Monte-Cristo,7.6, (33K),2h 58m,Action
19. The Fall Guy,6.8, (217K),2h 6m,Action
20. William Tell,5.8, (1.9K),2h 13m,Action
21. Hellboy: The Crooked Man,4.5, (13K),1h 39m,Action
22. Rebel Ridge,6.8, (86K),2h 11m,Action
23. Damsel,6.1, (108K),1h 50m,Action
24. Marco,6.9, (20K),2h 25m,Action
25. Homestead,5.4, (3.4K),1h 52m,Action
26. The Crow,4.7, (33K),1h 51m,Action
27. Road House,6.2, (166K),2h 1m,Action
28. Transformers One,7.6, (48K),1h 44m,Action
29. Red One,6.3, (138K),2h 3m,Action
30. Argylle,5.6, (92K),2h 19m,Action
31. Kingdom of the Planet of the Apes,6.9, (150K),2h 25m,Action
32. The Killer's Game,5.8, (16K),1h 44m,Action
33. Freaky Tales,6.5, (378),1h 46m,Action
34. Madame Web,4.0, (99K),1h 56m,Action
35. Bad Boys: Ride or Die,6.5, (98K),1h 55m,Action
36. Old Guy,5.1, (1.9K),1h 34m,Action
37. Godzilla x Kong: The New Empire,6.1, (120K),1h 55m,Action
38. Love Lies Bleeding,6.6, (56K),1h 44m,Action
39. Thelma,7.0, (22K),1h 38m,Action
40. Land of Bad,6.6, (50K),1h 53m,Action
41. Dirty Angels,4.3, (3.2K),1h 44m,Action
42. Aftermath,5.1, (3.6K),1h 37m,Action
43. Monkey Man,6.8, (90K),2h 1m,Action
44. Blitz,6.2, (16K),2h,Action
45. The Union,5.4, (52K),1h 47m,Action
46. Uglies,4.7, (32K),1h 40m,Action
47. Cash Out,4.8, (2.9K),1h 32m,Action
48. Survive,4.6, (2.1K),1h 30m,Action
49. Azrael,5.4, (10K),1h 26m,Action
50. Drive-Away Dolls,5.4, (23K),1h 24m,Action
51. Kung Fu Panda 4,6.3, (67K),1h 34m,Action
52. The Killer,5.7, (12K),2h 6m,Action
53. Attack on Titan the Movie: The Last Attack,9.2, (14K),2h 25m,Action
54. The Instigators,6.2, (37K),1h 41m,Action
55. Werewolves,4.4, (6.1K),1h 33m,Action
56. Beverly Hills Cop: Axel F,6.4, (81K),1h 58m,Action
57. Lift,5.5, (49K),1h 47m,Action
58. Maharaja,8.4, (66K),2h 21m,Action
59. Kalki 2898 AD,7.0, (66K),3h,Action
60. Absolution,5.2, (7.5K),1h 52m,Action
61. Arcadian,5.5, (23K),1h 32m,Action
62. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,Action
63. Apocalypse Z: The Beginning of the End,6.1, (19K),1h 57m,Action
64. Long Gone Heroes,5.2, (994),1h 41m,Action
65. Gunner,3.2, (2.4K),1h 46m,Action
66. Atlas,5.6, (55K),1h 58m,Action
67. Brothers,5.4, (13K),1h 29m,Action
68. Canary Black,5.4, (11K),1h 41m,Action
69. Chief of Station,4.7, (4.5K),1h 37m,Action
70. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Action
71. Armor,3.5, (3.7K),1h 29m,Action
72. Watchmen: Chapter I,7.0, (6.3K),1h 23m,Action
73. The Silent Hour,6.1, (7.1K),1h 39m,Action
74. Baby Invasion,4.6, (263),1h 20m,Action
75. Jackpot!,5.8, (30K),1h 46m,Action
76. Twilight of the Warriors: Walled In,7.0, (9K),2h 6m,Action
77. Vanvaas,6.7, (1.2K),2h 40m,Action
78. Under Paris,5.2, (36K),1h 44m,Action
79. Weekend in Taipei,5.7, (4.4K),1h 40m,Action
80. Hitpig,5.1, (857),1h 26m,Action
81. Baby John,5.4, (17K),2h 39m,Action
82. Classified,3.6, (2.3K),1h 45m,Action
83. The Shadow Strays,6.5, (9K),2h 24m,Action
84. Trigger Warning,4.6, (19K),1h 46m,Action
85. Boneyard,4.1, (4.9K),1h 36m,Action
86. Hagen,6.1, (1.1K),2h 19m,Action
87. Take Cover,5.1, (2.3K),1h 30m,Action
88. Aavesham,7.8, (27K),2h 35m,Action
89. No Way Up,4.6, (10K),1h 30m,Action
90. Damaged,4.7, (7.2K),1h 37m,Action
91. Red Right Hand,5.5, (5.8K),1h 51m,Action
92. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Action
93. Watchmen: Chapter II,7.0, (2.8K),1h 30m,Action
94. 11 Rebels,6.3, (296),2h 35m,Action
95. Singham Again,4.8, (75K),2h 24m,Action
96. Role Play,5.5, (19K),1h 40m,Action
97. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.4K),1h 33m,Action
98. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m,Action
99. Sunray: Fallen Soldier,4.3, (598),1h 55m,Action
100. River of Blood,5.4, (1.7K),1h 26m,Action
101. Hounds of War,4.5, (1.7K),1h 35m,Action
102. Amaran,8.2, (18K),2h 47m,Action
103. Dominique,5.3, (2.1K),1h 40m,Action
104. Code 8: Part II,5.7, (16K),1h 40m,Action
105. Hanu Man,7.7, (29K),2h 38m,Action
106. Prey,3.7, (3.2K),1h 26m,Action
107. Rifle Club,7.0, (4K),1h 53m,Action
108. Dark Match,5.5, (867),1h 34m,Action
109. Crosspoint,7.2, (30),1h 40m,Action
110. The Thundermans Return,5.0, (1.8K),1h 10m,Action
111. Trouble,6.2, (6.6K),1h 38m,Action
"112. I, the Executioner",6.3, (1.6K),1h 58m,Action
